terraform_snippet,risk_label
"resource ""aws_db_instance"" ""no_backup"" {
  engine                  = ""mysql""
  instance_class          = ""db.t3.micro""
  backup_retention_period = 0
  storage_encrypted       = false
  publicly_accessible     = false
}",Medium
"resource ""aws_security_group"" ""egress_only_https"" {
  name = ""egress-only-https""
  egress {
    from_port   = 443
    to_port     = 443
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
}",Low
"resource ""aws_s3_bucket"" ""internal_logs"" {
  bucket = ""internal-audit-logs""
}
resource ""aws_s3_bucket_acl"" ""private_acl"" {
  bucket = aws_s3_bucket.internal_logs.id
  acl    = ""private""
}",Low
"resource ""aws_instance"" ""public_ec2_encrypted"" {
  ami                         = ""ami-0c55b159cbfafe1f0""
  instance_type               = ""t2.micro""
  associate_public_ip_address = true

  ebs_block_device {
    device_name = ""/dev/sda1""
    encrypted   = true
    volume_size = 20
  }
}",Medium
"resource ""aws_instance"" ""var_config_ec2"" {
  ami           = ""ami-0c55b159cbfafe1f0""
  instance_type = ""t2.micro""

  ebs_block_device {
    device_name = ""/dev/sda1""
    encrypted   = var.encrypt_ebs
    volume_size = 20
  }
}",Medium
"resource ""aws_s3_bucket"" ""encrypted_no_block"" {
  bucket = ""encrypted-no-block""
}
resource ""aws_s3_bucket_server_side_encryption_configuration"" ""enc"" {
  bucket = aws_s3_bucket.encrypted_no_block.id
  rule {
    apply_server_side_encryption_by_default {
      sse_algorithm = ""AES256""
    }
  }
}",Medium
"resource ""aws_iam_policy"" ""s3_read_all"" {
  name = ""s3-read-all""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = [""s3:GetObject"", ""s3:ListBucket""]
      Resource = ""*""
    }]
  })
}",Medium
"resource ""aws_s3_bucket"" ""internal_logs"" {
  bucket = ""internal-audit-logs""
}
resource ""aws_s3_bucket_acl"" ""private_acl"" {
  bucket = aws_s3_bucket.internal_logs.id
  acl    = ""private""
}",Low
"resource ""aws_instance"" ""hardcoded_creds_ec2"" {
  ami                         = ""ami-0c55b159cbfafe1f0""
  instance_type               = ""t2.micro""
  associate_public_ip_address = true

  user_data = base64encode(<<-EOF
    db_password = ""SuperSecret_DB_Pass123""
    api_token   = ""hardcoded_api_token_value""
  EOF
  )
}",High
"resource ""aws_security_group"" ""web_db_open"" {
  name = ""web-db-open""
  ingress {
    from_port   = 22
    to_port     = 22
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
  ingress {
    from_port   = 3306
    to_port     = 3306
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
}",High
"resource ""aws_db_instance"" ""no_encrypt_db"" {
  engine              = ""postgres""
  instance_class      = ""db.t3.micro""
  storage_encrypted   = false
  multi_az            = false
  publicly_accessible = false
}",Medium
"resource ""aws_iam_policy"" ""s3_wildcard"" {
  name = ""s3-wildcard""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = ""s3:*""
      Resource = ""*""
    }]
  })
}",High
"resource ""aws_iam_policy"" ""cw_logs"" {
  name = ""cloudwatch-logs-write""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = [""logs:CreateLogStream"", ""logs:PutLogEvents""]
      Resource = ""arn:aws:logs:us-east-1:123456789012:log-group:/app/prod:*""
    }]
  })
}",Low
"resource ""aws_db_instance"" ""main"" {
  engine              = ""mysql""
  instance_class      = ""db.m5.large""
  publicly_accessible = true
  storage_encrypted   = false
  multi_az            = false
}",High
"resource ""aws_db_instance"" ""main"" {
  engine              = ""mysql""
  instance_class      = ""db.m5.large""
  publicly_accessible = true
  storage_encrypted   = false
  multi_az            = false
}",High
"resource ""aws_s3_bucket"" ""logs_bucket"" {
  bucket = ""app-logs-bucket""
}",Medium
"resource ""aws_security_group"" ""db_private"" {
  name = ""db-private""
  ingress {
    from_port       = 5432
    to_port         = 5432
    protocol        = ""tcp""
    security_groups = [aws_security_group.app_sg.id]
  }
}",Low
"resource ""aws_iam_policy"" ""ec2_broad"" {
  name = ""ec2-broad""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = ""ec2:*""
      Resource = ""arn:aws:ec2:us-east-1:123456789012:instance/*""
    }]
  })
}",Medium
"resource ""aws_security_group"" ""open_rdp"" {
  name = ""open-rdp""
  ingress {
    from_port   = 3389
    to_port     = 3389
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
}",High
"resource ""aws_security_group"" ""app_sg"" {
  name = ""app-sg""
  ingress {
    from_port       = 8080
    to_port         = 8080
    protocol        = ""tcp""
    security_groups = [aws_security_group.alb_sg.id]
  }
}",Low
"resource ""aws_iam_policy"" ""s3_wildcard"" {
  name = ""s3-wildcard""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = ""s3:*""
      Resource = ""*""
    }]
  })
}",High
"resource ""aws_security_group"" ""loose_egress"" {
  name = ""loose-egress""
  egress {
    from_port   = 0
    to_port     = 0
    protocol    = ""-1""
    cidr_blocks = [""0.0.0.0/0""]
  }
  ingress {
    from_port   = 443
    to_port     = 443
    protocol    = ""tcp""
    cidr_blocks = [""10.0.0.0/16""]
  }
}",Medium
"resource ""aws_iam_policy"" ""ec2_describe"" {
  name = ""ec2-describe-only""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = [""ec2:DescribeInstances"", ""ec2:DescribeSecurityGroups""]
      Resource = ""arn:aws:ec2:us-east-1:123456789012:instance/*""
    }]
  })
}",Low
"resource ""aws_iam_policy"" ""dynamo_scoped"" {
  name = ""dynamo-scoped""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [{
      Effect   = ""Allow""
      Action   = [""dynamodb:GetItem"", ""dynamodb:PutItem"", ""dynamodb:Query""]
      Resource = ""arn:aws:dynamodb:us-east-1:123456789012:table/MyTable""
    }]
  })
}",Low
"resource ""aws_db_instance"" ""prod_db"" {
  engine                  = ""postgres""
  engine_version          = ""14.5""
  instance_class          = ""db.m5.large""
  publicly_accessible     = false
  storage_encrypted       = true
  multi_az                = true
  deletion_protection     = true
  backup_retention_period = 30
}",Low
"resource ""aws_security_group"" ""db_private"" {
  name = ""db-private""
  ingress {
    from_port       = 5432
    to_port         = 5432
    protocol        = ""tcp""
    security_groups = [aws_security_group.app_sg.id]
  }
}",Low
"resource ""aws_s3_bucket"" ""encrypted_no_block"" {
  bucket = ""encrypted-no-block""
}
resource ""aws_s3_bucket_server_side_encryption_configuration"" ""enc"" {
  bucket = aws_s3_bucket.encrypted_no_block.id
  rule {
    apply_server_side_encryption_by_default {
      sse_algorithm = ""AES256""
    }
  }
}",Medium
"resource ""aws_security_group"" ""app_sg"" {
  name = ""app-sg""
  ingress {
    from_port       = 8080
    to_port         = 8080
    protocol        = ""tcp""
    security_groups = [aws_security_group.alb_sg.id]
  }
}",Low
"resource ""aws_security_group"" ""web_db_open"" {
  name = ""web-db-open""
  ingress {
    from_port   = 22
    to_port     = 22
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
  ingress {
    from_port   = 3306
    to_port     = 3306
    protocol    = ""tcp""
    cidr_blocks = [""0.0.0.0/0""]
  }
}",High
"resource ""aws_db_instance"" ""replica_db"" {
  engine                = ""mysql""
  instance_class        = ""db.t3.medium""
  publicly_accessible   = false
  storage_encrypted     = true
  copy_tags_to_snapshot = true
}",Low
